"anxiety","attention","depression"
18,1227.10623499394,27.1227671865733
19,1402.98289851366,32.8377167985142
20,1676.49602048623,40.8757487149267
19,1471.45727407803,36.2146792435531
20,1303.50593030346,31.9139499083859
19,1596.0043750364,37.1853233830198
18,1449.63392558585,32.805618616143
23,1811.25876553566,47.663628712328
23,1659.1125135838,44.2424682793744
24,1456.54721744604,41.0191491000307
24,1415.35340444931,38.4322346951825
17,1265.51575112912,27.0051751608125
18,1766.78968429234,39.2135089667379
21,1467.01365322739,38.0475937298139
22,1441.86311293201,38.2460814015875
17,1538.95847483846,32.0009125992385
21,1485.13029884249,37.8878546980807
22,1101.45793435459,27.5861157657662
18,1862.36538323879,42.8521317988926
21,1370.46010672123,35.0843313656584
21,1784.559035154,45.0729785054863
22,1525.87868953037,39.8778578177561
15,1761.91726792971,34.3098051652518
18,1398.2210245191,31.5077733468168
20,1391.32429360448,35.1534794341669
22,1211.46432985016,32.8632267133727
19,1159.39489126847,25.9143923574254
18,1553.47153355345,34.0807962990993
19,1651.70000441298,39.1004450274545
19,1238.77626855188,29.674046283693
19,1166.97555564759,28.0930226812601
21,1314.13415523738,31.9533975230548
18,1461.8325249204,33.4102554089022
17,1456.24520539879,30.8644272443882
19,1196.84822279352,29.5807916411126
19,1330.96499929837,30.6632898031847
22,1141.29921918936,28.8147727600332
20,1702.38067274332,40.4999560978731
21,1420.41784952377,35.3966488365033
23,1613.12070650417,42.9228814523888
21,1342.68221527814,34.0999305052279
22,1406.44230096538,35.7481907981227
18,1252.12112743523,28.8417434368524
20,1564.53936584184,37.7650892313905
20,1744.71578701312,41.2547356976711
19,1440.1789849484,34.1173124562723
22,1903.52330851562,48.9151765064903
21,1269.3008647368,31.719944439112
19,1456.98678037769,34.7741262817246
24,1564.93346130576,43.8096477787863
20,1232.40941354752,30.7518728540432
19,1442.45258946608,32.5088258163516
17,1791.21179574659,36.7616478948203
18,1566.08031732217,33.4481858622617
19,1479.78278881506,34.8181813299153
22,1757.65912167768,44.7684198911738
17,1062.82771083711,22.0552495047504
16,1395.78618736048,29.3678146789137
21,1716.70133839416,42.523501802147
18,1254.64890560873,29.0823088340737
19,1514.26774458411,35.7660967498883
19,1302.79817073168,32.7739438912387
21,1453.29937981864,38.0498927402441
18,1452.08180273438,32.2246189160168
19,1249.91520164785,29.0164322627027
19,1661.50106936724,39.3909982013914
18,1283.74814429022,30.7105137947563
23,1444.53930416022,37.1062529272835
19,1258.17549127423,27.9137042164643
20,1546.16619596732,38.2038504114883
21,1825.04904965552,46.6707208343104
20,1526.72519397316,38.683662997839
19,1583.17115092022,36.3443669559368
19,1548.29391178846,34.5203617769965
18,1581.72150328162,34.6324123375435
21,1647.31888134231,40.7497031491394
17,1504.22459012877,31.7381089987563
20,1609.40225122534,40.492590969084
21,1369.73285544219,36.94267333572
20,1618.22152794499,39.2417121133148
23,1768.94992299308,47.6050849911542
18,1616.94771350435,36.7179182824952
18,1260.03590468086,28.8976721657181
16,1584.79603313515,32.3667527798209
26,1286.92824106402,40.6314059082728
19,1389.21520451485,32.210174572822
20,2047.02463299143,51.1774117124666
21,1616.01336029164,39.9574811961947
21,1517.19583988385,39.3655748532661
21,1393.48891809291,36.0234894947852
22,1550.42909813328,40.6088328273768
21,1254.75215994782,33.3693140290461
22,1803.12510453285,45.8822412884955
19,1549.07370400505,35.5460101985876
19,1805.74848769134,40.6806563493822
22,1826.96114191735,47.0637462508585
19,1128.42460318209,27.4090533321999
18,1145.52192269637,27.40070470769
22,1286.83361342658,34.7621967750063
18,1937.77838441713,44.3436689987419
